Latency Analysis Report

Flow analysis for end to end flow prot.XferOnly (Async)
Contributor,Min Specified,Min Value,Min Method    ,Max Specified,Max Value,Max Method    ,Comments             ,
Thread sender,,0.0ms,first sampling,,0.0ms,first sampling,Initial 100.0ms sampling latency not added,
Thread sender,,0.0ms,no latency,,0.0ms,no latency,
Delayed Connection sender.SendSourceTrackSet -> requestor.ReceivedSourceTrackSet,,0.0ms,no latency,,0.0ms,no latency,
Thread requestor,,100.0ms,delayed sampling,,100.0ms,delayed sampling,
Thread requestor,1.0ms,1.0ms,specified,1.0ms,1.0ms,specified,
Immediate Connection requestor.CorrelatedTracksRequest -> sender.CorrelatedTracksRequest,,0.0ms,no latency,,0.0ms,no latency,
Thread sender,1.0ms,1.0ms,specified,1.0ms,1.0ms,specified,
Delayed Connection sender.SendCorrelatedTrackSet -> requestor.ReceivedCorrelatedTrackSet,,0.0ms,no latency,,0.0ms,no latency,
Thread requestor,,100.0ms,delayed sampling,,100.0ms,delayed sampling,
Thread requestor,1.0ms,1.0ms,specified,1.0ms,1.0ms,specified,
Immediate Connection requestor.OwnAircraftPositionRequest -> sender.OwnAircraftPositionRequest,,0.0ms,no latency,,0.0ms,no latency,
Thread sender,1.0ms,1.0ms,specified,1.0ms,1.0ms,specified,
Delayed Connection sender.SendOwnAircraftPosition -> requestor.ReceivedOwnAircraftPosition,,0.0ms,no latency,,0.0ms,no latency,
Thread requestor,,100.0ms,delayed sampling,,100.0ms,delayed sampling,
Thread requestor,,0.0ms,no latency,,0.0ms,no latency,
Latency Total,4.0ms,304.0ms,,4.0ms,304.0ms,,
End to End Latency,,300.0ms,,,300.0ms,,
End to end Latency Summary,
WARNING,Sum of minimum specified latencies (4.0 ms) is less than minimum end to end latency (300.0ms),
ERROR,Sum of maximum actual latencies (304.0ms) exceeds end to end latency (300.0ms),



Flow analysis for end to end flow prot.XferOnly (Sync)
Contributor,Min Specified,Min Value,Min Method    ,Max Specified,Max Value,Max Method    ,Comments             ,
Thread sender,,0.0ms,first sampling,,0.0ms,first sampling,Initial 100.0ms sampling latency not added,
Thread sender,,0.0ms,no latency,,0.0ms,no latency,
Delayed Connection sender.SendSourceTrackSet -> requestor.ReceivedSourceTrackSet,,0.0ms,no latency,,0.0ms,no latency,
Thread requestor,,100.0ms,delayed sampling,,100.0ms,delayed sampling,Min: Sync added 100.0ms,Max: Sync added 100.0ms,
Thread requestor,1.0ms,1.0ms,specified,1.0ms,1.0ms,specified,
Immediate Connection requestor.CorrelatedTracksRequest -> sender.CorrelatedTracksRequest,,0.0ms,no latency,,0.0ms,no latency,
Thread sender,1.0ms,1.0ms,specified,1.0ms,1.0ms,specified,
Delayed Connection sender.SendCorrelatedTrackSet -> requestor.ReceivedCorrelatedTrackSet,,0.0ms,no latency,,0.0ms,no latency,
Thread requestor,,100.0ms,delayed sampling,,100.0ms,delayed sampling,Min: Sync added 98.0ms,Max: Sync added 98.0ms,
Thread requestor,1.0ms,1.0ms,specified,1.0ms,1.0ms,specified,
Immediate Connection requestor.OwnAircraftPositionRequest -> sender.OwnAircraftPositionRequest,,0.0ms,no latency,,0.0ms,no latency,
Thread sender,1.0ms,1.0ms,specified,1.0ms,1.0ms,specified,
Delayed Connection sender.SendOwnAircraftPosition -> requestor.ReceivedOwnAircraftPosition,,0.0ms,no latency,,0.0ms,no latency,
Thread requestor,,100.0ms,delayed sampling,,100.0ms,delayed sampling,Min: Sync added 98.0ms,Max: Sync added 98.0ms,
Thread requestor,,0.0ms,no latency,,0.0ms,no latency,
Latency Total,4.0ms,300.0ms,,4.0ms,300.0ms,,
End to End Latency,,300.0ms,,,300.0ms,,
End to end Latency Summary,
WARNING,Sum of minimum specified latencies (4.0 ms) is less than minimum end to end latency (300.0ms),
SUCCESS,end-to-end flow latency for XferOnly calculated from the components is correct with the expected latency specifications,



